,anime_id,name,type,rating,genre,episodes,creators,aired_year,awards_no,descript
0,1,Seikai no Monshou,TV Series,8.28,"Action, Military, Romance, Sci-Fi, Space",13,15,1999,0,"* Based on the sci-fi novel series by Morioka Hiroyuki.Linn Jinto's life changes forever when the Humankind Empire Abh takes over his home planet of Martine without firing a single shot. He is soon sent off to study the Abh language and culture and to prepare himself for his future as a nobleman Ã¢ÂÂ a future he never dreamed of, asked for, or even wanted.
Now, Jinto is entering the next phase of his training, and he is about to meet the first Abh in his life, the lovely Lafiel. However, Jinto is about to learn that there is more to her than meets the eye, and together they will have to fight for their very lives.
	"
1,4,Seikai no Senki,TV Series,8.21,"Action, Military, Romance, Sci-Fi, Space",13,15,2000,2,"* Based on the sci-fi novel series by Morioka Hiroyuki.
Three years after their adventure, Lafiel becomes captain on the brand new assault ship Basroil and Jinto finishes his training to become a supply officer and joins Lafiel's crew. They set out to join a large fleet with the mission to defend the strategically important Aptic Gate from a force 15 times larger than their own. And to make matters worse, their new fleet commander is from the Bebaus family, a family notorious for their ""Spectacular Insanity"".Source: ANN
	"
2,5,Seikai no Senki II,TV Series,8.3,"Action, Military, Romance, Sci-Fi, Space",10,15,2001,4,"* Based on the Seikai no Senki sci-fi novel series by Morioka Hiroyuki.
The Abh star force won a decisive battle at Aptic Gate, completely breaking the counter offensive of the United Mankind fleet. Now a new operation has begun: Operation Hunter Ã¢ÂÂ seek and completely annihilate all of the remaining scattered fleet.Basroil, part of 4th fleet, was sent to the Lobnas system on an escort mission. Lafiel and Jinto were assigned to become acting governor/vice governor of the system and negotiate with the planet-side government to establish empire rule. But little did they know that that the Lobnas system is a prison planet of United Mankind and millions of prisoners are just about to start a rebellion to overwhelm the security forces detached there.
	"
3,8,Aquarian Age: Sign for Evolution,TV Series,6.4,"Action, Adventure, Fantasy, Music, Romance, Sci-Fi, Shounen, Super Power, Supernatural",13,17,2002,0,"Kyouta and his friends Shingo and Jun dream of becoming a big-time rock 'n' roll band. Kyouta's childhood friend Yokko supports them as they work to make their dream come true. Just as things start to turn in their favour, however, Kyouta learns that there are greater forces at work and an Earth-shattering conflict is about to begin. What part will Yokko and Kyouta play in the events to come?
	"
4,12,Chobits,TV Series,7.81,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",26,15,2002,1,"In the near future, personal computers take the form of attractive female androids, called Persocons.Motosuwa Hideki is a poor student who failed his entrance exams to get into college. So, Hideki is forced to move to the city, get a job, and attend cram school in hopes of passing the next college entrance exam. He would of course also like to own a Persocon, but is way too poor to afford one.
One day, while returning home, he finds a Persocon in a trash heap. However, his new find does not seem to be like the others he has heard about. She does not seem to have an operating system at all, and only says ""Chii"". As Hideki learns more about his Persocon (aptly named Chii), he finds out that she is not of any known type, and is most likely some sort of home-made model. He also learns of an urban legend â the Chobits â Persocons with the ability to think for themselves, instead of just running complex programs...Source: AnimeNfo
	"
5,13,Noir,TV Series,7.55,"Action, Drama, Mystery",26,11,2001,1,"Set in the near future, Mireille is a young woman, a lone-wolf type who just happens to be one of the most talented assassins in the underworld. One day she receives an email with the name of her next target: Yuumura Kirika. The email has an attachment phrase, ""Join me on a pilgrimage to the past."" and a melody that was playing from a music box when Mireille's parents were killed by a mysterious assassin. Mireille and Kirika, a girl who has no memory of her past, eventually team up as assassins.Source: AnimeNfo
	"
6,14,RahXephon,TV Series,7.79,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",26,15,2002,1,"In the year 2012, Tokyo is suddenly attacked by a mysterious organization called MU.
At that time Kamina Ayato is just a regular high school student. His father passed away when he was young, and his mother works for the government. Ayato meets a mysterious woman named Mishima Reika and discovers the existence of the angel-winged giant robot, RahXephon. Surprisingly RahXephon can synchronize with Ayato. So could he be the key to save Japan?
	"
7,15,Kanon,TV Series,7.32,"Drama, Romance, Slice of Life, Supernatural",13,19,2002,0,"Changing schools is something the 17-year-old Aizawa Yuuichi is accustomed to, due to his parent's profession, and with their recent venture to Africa, he is returning to his aunt's home after seven years. The time that has passed since his last visit has faded his memories of the people he once knew, and the ties that bonded them to him, including his cousin Minase Nayuki. Slowly those people, coincidentally all being girls, find their way back to him. However, time has passed and things have happened in their own lives. Secrets are coming to surface, and memories are returning to not only Yuuichi, but to those surrounding him.Source: ANN
	"
8,19,Rizelmine,TV Series,6.76,"Comedy, Ecchi, Romance, School, Sci-Fi",24,16,2002,0,"The day for the not so fortunate 15-year-old Iwaki Tomonori begins with him finding out that the teacher he had a crush on is now getting married to someone else. Fed up with relations and marriage he rushes back home, to be pounced on by an unknown girl. As it turns out the 12-year-old Rizel is part of a secret government experiment related to human genetics, an artificial human. And to top things off, the government decided to marry him to Rizel without his consent. Though his parents initially are also less than thrilled by having to feed another mouth on the family's low income, the government agents quickly assure them that all expenses will be paid.
And so, with the government and his parents to contend with, the dumbfounded Tomonori now has to live with a wife under one roof...â written by foo2
	"
9,20,Tokyo Underground,TV Series,6.88,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",26,15,2002,0,"Deep under the ground of the capital city of Tokyo exists the forgotten and confined world called Tokyo Underground.
When Asagi Rumina encounters Ruri Sarasa, an escapee from the Underground, as well as her assistant Chelsea Rorec, he decides to protect them. But rather than attempting to bring Ruri back, the Underground's secret organization, Company, sends over intelligence personnel by the name of Supei.
Having fallen in love with Sarasa, will Rumina take on Supei in a battle to protect his love?Source: AnimeNfo
	"
