,user_group,anime_id,sub_year
0,1,1,2002
1,1,12,2002
2,1,26,2002
3,1,86,2002
4,1,146,2002
5,1,260,2002
6,1,448,2003
7,1,458,2003
8,1,251,2003
9,1,555,2003
10,1,609,2003
11,1,624,2003
12,1,656,2003
13,1,680,2003
14,1,449,2003
15,1,323,2003
16,1,579,2003
17,1,1810,2004
18,1,477,2004
19,1,1508,2004
20,1,1761,2004
21,1,2391,2005
22,1,3321,2005
23,1,3703,2006
24,1,4335,2006
25,2,92,2002
26,2,54,2002
27,2,271,2003
28,2,447,2004
29,2,224,2004
30,2,1555,2004
31,2,3444,2007
32,3,8,2002
33,3,21,2002
34,3,93,2002
35,3,245,2002
36,3,516,2003
37,3,624,2003
38,3,1641,2004
39,3,1648,2004
40,3,20,2004
41,3,1806,2004
42,3,3562,2005
43,3,3214,2005
44,3,3651,2006
45,3,4404,2006
46,3,4777,2007
47,3,5083,2007
48,3,5101,2007
49,3,5576,2008
50,3,6367,2009
51,4,19,2002
52,4,26,2002
53,4,47,2002
54,4,86,2002
55,4,54,2002
56,4,125,2002
57,4,160,2002
58,4,170,2002
59,4,183,2002
60,4,194,2002
61,4,225,2002
62,4,228,2002
63,4,96,2002
64,4,389,2002
65,4,520,2003
66,4,607,2003
67,4,830,2003
68,4,477,2003
69,4,1122,2004
70,4,1697,2004
71,4,30,2006
72,5,354,2002
73,5,439,2003
74,5,645,2003
75,5,131,2003
76,5,26,2003
77,6,5,2002
78,6,20,2002
79,6,4,2002
80,6,16,2002
81,6,33,2002
82,6,75,2002
83,6,86,2002
84,6,113,2002
85,6,107,2002
86,6,126,2002
87,6,160,2002
88,6,245,2002
89,6,272,2002
90,6,175,2002
91,6,132,2003
92,6,108,2003
93,6,14,2003
94,6,638,2003
95,6,751,2003
96,6,895,2003
97,6,1015,2003
98,6,1111,2003
99,6,761,2003
100,6,1431,2004
101,6,1327,2004
102,6,1536,2004
103,6,2125,2004
104,6,1806,2004
105,6,2320,2004
106,6,2429,2004
107,6,2188,2004
108,6,2696,2005
109,6,2810,2005
110,6,3463,2005
111,6,3214,2005
112,6,291,2006
113,6,5039,2007
114,6,5108,2007
115,6,4309,2007
116,6,5610,2008
117,6,5530,2008
118,6,5316,2008
119,6,5975,2008
120,7,17,2002
121,7,35,2002
122,7,91,2002
123,7,100,2003
124,7,568,2003
125,7,253,2003
126,7,959,2003
127,7,4,2003
128,7,116,2004
129,8,12,2002
130,8,32,2002
131,8,36,2002
132,8,84,2002
133,8,103,2002
134,8,125,2002
135,8,129,2002
136,8,156,2002
137,8,92,2002
138,8,13,2002
139,8,245,2002
140,8,239,2002
141,8,85,2002
142,8,414,2003
143,8,14,2003
144,8,837,2003
145,8,642,2003
146,8,1539,2004
147,8,1552,2004
148,9,161,2002
149,9,84,2003
150,9,106,2005
151,9,74,2005
152,10,12,2002
153,10,17,2002
154,10,86,2002
155,10,133,2002
156,10,134,2002
157,10,126,2002
158,10,251,2002
159,10,274,2002
